2012-09-26 09:48:12,443 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-1
2012-09-26 09:48:12,890 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-2
2012-09-26 09:48:12,916 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-1
2012-09-26 11:08:23,674 | WARN  | Transport (localhost/127.0.0.1:61616) failed to tcp://localhost:61616 , attempting to automatically reconnect due to: java.io.EOFException | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Transport: tcp://localhost/127.0.0.1:61616
2012-09-26 11:08:23,697 | WARN  | Transport (localhost/127.0.0.1:61616) failed to tcp://localhost:61616 , attempting to automatically reconnect due to: java.io.EOFException | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Transport: tcp://localhost/127.0.0.1:61616
2012-09-26 11:08:23,691 | WARN  | Transport (localhost/127.0.0.1:61616) failed to tcp://localhost:61616 , attempting to automatically reconnect due to: java.io.EOFException | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Transport: tcp://localhost/127.0.0.1:61616
2012-09-26 11:08:34,750 | INFO  | Clazz: class net.blogracy.model.users.UserImpl loaded by WebAppClassLoader=10192618@9b86ea | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-1
2012-09-26 11:08:34,751 | INFO  | removed | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-1
2012-09-26 11:08:34,752 | INFO  | javax.el.BeanELResolver purged | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-1
2012-09-26 11:50:36,556 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-1
2012-09-26 11:50:37,254 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-2
2012-09-26 11:50:37,289 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-1
2012-09-26 11:52:19,493 | WARN  | Transport (localhost/127.0.0.1:61616) failed to tcp://localhost:61616 , attempting to automatically reconnect due to: java.io.EOFException | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Transport: tcp://localhost/127.0.0.1:61616
